Label;#;Samples;Average;Median;90%;Line;95%;Line;99%;Line;Min;Max;Error;%;Throughput;Received;KB/sec;Sent;KB/sec
2;/;2;873;873;873;873;873;873;873;0.000%;2.28311;64.11;0.72;;;;;;
79;/ginit/1538512318;2;599;599;599;599;599;599;599;0.000%;3.3389;1.45;3.96;;;;;;
84;/wp-admin/admin-ajax.php;1;844;844;844;844;844;844;844;0.000%;1.18483;0.57;0.61;;;;;;
88;/selenium-tutorial/;1;811;811;811;811;811;811;811;0.000%;1.23305;35.42;0.51;;;;;;
118;/;1;59;59;59;59;59;59;59;0.000%;16.94915;13.04;7.3;;;;;;
Selenium;Tutorial;1;1714;1714;1714;1714;1714;1714;1714;0.000%;0.58309;17.48;0.79;;;;;;
121;/cucumber/cucumber-tutorial/;1;654;654;654;654;654;654;654;0.000%;1.52905;36.47;0.64;;;;;;
123;/avatar/c17caf95a7b8ab4fee945497e5cd26c1;1;168;168;168;168;168;168;168;0.000%;5.95238;18.04;2.46;;;;;;
159;/;1;623;623;623;623;623;623;623;100.000%;1.60514;0.36;0.71;;;;;;
161;/;1;118;118;118;118;118;118;118;0.000%;8.47458;6.52;3.67;;;;;;
160;/gsorganizationvalsha2g2;1;125;125;125;125;125;125;125;0.000%;8;16.86;3.62;;;;;;
162;/gsorganizationvalsha2g2;1;39;39;39;39;39;39;39;0.000%;25.64103;50.41;118;;;;;;
Cucumber;Tutorial;1;1727;1727;1727;1727;1727;1727;1727;100.000%;0.57803;18.47;1.55;;;;;;
163;/selenium-c-sharp/;1;618;618;618;618;618;618;618;0.000%;1.61812;36.81;0.66;;;;;;
168;/;1;67;67;67;67;67;67;67;0.000%;14.92537;11.49;6.43;;;;;;
169;/;1;35;35;35;35;35;35;35;0.000%;28.57143;21.99;12.3;;;;;;
Selenium;C#;1;720;720;720;720;720;720;720;0.000%;1.38504;33.64;1.76;;;;;;
171;/mobile-automation/appium/appium-tutorial/;1;414;414;414;414;414;414;414;0.000%;2.41546;57.16;1.05;;;;;;
185;/gsorganizationvalsha2g2;1;43;43;43;43;43;43;43;0.000%;23.25581;45.72;11.92;;;;;;
186;/;1;39;39;39;39;39;39;39;0.000%;25.64103;19.73;11.04;;;;;;
187;/;1;265;265;265;265;265;265;265;0.000%;3.77358;2.49;1.63;;;;;;
188;/;1;73;73;73;73;73;73;73;0.000%;13.69863;9.03;5.9;;;;;;
Appium;Tutorial;1;834;834;834;834;834;834;834;0.000%;1.19617;33.16;2.68;;;;;;
189;/wp-admin/admin-ajax.php;2;1093;1093;1093;1093;1093;1093;1093;0.000%;1.82983;0.77;1.1;;;;;;
TOTAL;27;560;599;1093;1714;1727;35;1727;7.407%;3.56624;37.74;2.55;;;;;;;
